<FG2 'FG2-SHELL V4.03' (Nov 25 2020) NOW(UTC):01.08.2023 21:35:18>,,,,,
<FILE: C:\FG2_Shell_V3\data/A543E3/raw/A543E3_20230801133449.f2b>,,,,,
<LOGGER: $A543E3>,,,,,
<FILESIZE: 125196 Bytes>,,,,,
<MEMORY CLEAR>,,,,,
<PARAMETER_SET: C:\FG2_Shell_V3\data/A543E3/par/A543E3_20220923212752.f2p>,,,,,
<PERIOD: 3600 sec>,,,,,
<TIME: 23.09.2022 22:29:08>,,,,,
<HK-BATUSED: 0.0 % (CALC)>,,,,,
NO,TIME,#1:oC,#2:X,#3:Y,HK-BAT:V
76,27.09.2022 01:00:00,2.35264,6.08741,-5.09264,
77,27.09.2022 02:00:00,0.873275,6.07077,-5.07518,
78,27.09.2022 03:00:00,-0.450008,6.07615,-5.06237,
79,27.09.2022 04:00:00,-0.974346,6.0678,-5.06592,
80,27.09.2022 05:00:00,-0.947363,6.10917,-5.07601,3.462
81,27.09.2022 06:00:00,-0.857942,6.07885,-5.0876,
82,27.09.2022 07:00:00,-1.05741,6.06703,-5.07175,
83,27.09.2022 08:00:00,-0.950008,6.08912,-5.06764,
84,27.09.2022 09:00:00,-0.828312,6.10307,-5.07339,
85,27.09.2022 10:00:00,-0.609266,6.09994,-5.07883,
86,27.09.2022 11:00:00,-0.616674,6.1051,-5.07041,3.459
87,27.09.2022 12:00:00,-0.507152,6.10834,-5.07489,
88,27.09.2022 13:00:00,-0.353184,6.08445,-5.0725,
89,27.09.2022 14:00:00,-0.544718,6.08555,-5.07342,
90,27.09.2022 15:00:00,-0.633073,6.06725,-5.07481,
91,27.09.2022 16:00:00,-0.501331,6.06011,-5.07648,
92,27.09.2022 17:00:00,-0.197098,6.07209,-5.07699,3.465
93,27.09.2022 18:00:00,0.0949619,6.10203,-5.06689,
94,27.09.2022 19:00:00,0.878037,6.1073,-5.08374,
95,27.09.2022 20:00:00,1.36957,6.09258,-5.08532,
96,27.09.2022 21:00:00,0.857402,6.07879,-5.08266,
97,27.09.2022 22:00:00,0.920365,6.05539,-5.0746,
98,27.09.2022 23:00:00,0.65687,6.02858,-5.07135,3.464
99,28.09.2022 00:00:00,0.544167,5.98365,-5.073,
100,28.09.2022 01:00:00,0.378031,6.02468,-5.07675,
101,28.09.2022 02:00:00,-0.0822864,6.04852,-5.07372,
102,28.09.2022 03:00:00,-0.307152,5.98876,-5.06811,
103,28.09.2022 04:00:00,-0.815085,6.04698,-5.06325,
104,28.09.2022 05:00:00,-0.998155,6.01342,-5.06832,3.429
105,28.09.2022 06:00:00,-1.21456,6.03369,-5.06642,
106,28.09.2022 07:00:00,-1.28704,6.03891,-5.06642,
107,28.09.2022 08:00:00,-1.65741,6.06182,-5.06307,
108,28.09.2022 09:00:00,-3.14366,6.03583,-5.05504,
109,28.09.2022 10:00:00,-3.52196,6.03325,-5.06479,
110,28.09.2022 11:00:00,-2.71562,6.03688,-5.07049,3.448
111,28.09.2022 12:00:00,-3.69074,6.03325,-5.06226,
112,28.09.2022 13:00:00,-3.77646,6.03688,-5.0601,
113,28.09.2022 14:00:00,-5.15424,6.02584,-5.05407,
114,28.09.2022 15:00:00,-9.71031,6.01144,-5.01941,
115,28.09.2022 16:00:00,-9.16959,6.01996,-5.03295,
116,28.09.2022 17:00:00,-5.89286,6.02924,-5.05941,3.45
117,28.09.2022 18:00:00,-4.12831,6.03726,-5.07209,
118,28.09.2022 19:00:00,-1.71879,6.03913,-5.08817,
119,28.09.2022 20:00:00,1.21507,6.03886,-5.10533,
120,28.09.2022 21:00:00,5.02882,6.03254,-5.12744,
121,28.09.2022 22:00:00,7.59655,5.99777,-5.14425,
122,28.09.2022 23:00:00,3.46587,5.94921,-5.1091,3.434
123,29.09.2022 00:00:00,4.5574,5.9491,-5.11057,
124,29.09.2022 01:00:00,0.451576,5.93492,-5.08214,
125,29.09.2022 02:00:00,-1.97276,5.9369,-5.07019,
126,29.09.2022 03:00:00,-5.15477,5.938,-5.04983,
127,29.09.2022 04:00:00,-5.78016,5.94316,-5.04546,
128,29.09.2022 05:00:00,-8.05741,5.95102,-5.03418,3.431
129,29.09.2022 06:00:00,-8.15159,5.95355,-5.0331,
130,29.09.2022 07:00:00,-10.1585,5.94487,-5.01563,
131,29.09.2022 08:00:00,-8.34261,5.96179,-5.03952,
132,29.09.2022 09:00:00,-7.71773,5.96964,-5.04328,
133,29.09.2022 10:00:00,-7.23836,5.97184,-5.046,
134,29.09.2022 11:00:00,-7.9918,5.96283,-5.03928,3.443
135,29.09.2022 12:00:00,-9.24471,5.9636,-5.02782,
136,29.09.2022 13:00:00,-8.91349,5.96624,-5.03107,
137,29.09.2022 14:00:00,-6.09339,5.96788,-5.05717,
138,29.09.2022 15:00:00,-5.45212,5.97173,-5.06125,
139,29.09.2022 16:00:00,-6.08228,5.96327,-5.05376,
140,29.09.2022 17:00:00,-4.13307,5.97393,-5.0722,3.426
141,29.09.2022 18:00:00,-0.193395,5.97101,-5.09636,
142,29.09.2022 19:00:00,1.50555,5.97717,-5.12027,
143,29.09.2022 20:00:00,6.4246,5.98854,-5.16007,
144,29.09.2022 21:00:00,6.21718,5.98892,-5.14024,
145,29.09.2022 22:00:00,8.15158,5.99782,-5.14645,
146,29.09.2022 23:00:00,4.88067,5.98046,-5.11462,3.441
147,30.09.2022 00:00:00,2.81877,5.97925,-5.10666,
148,30.09.2022 01:00:00,9.76375,5.97568,-5.15478,
149,30.09.2022 02:00:00,7.54205,5.97799,-5.12598,
150,30.09.2022 03:00:00,2.46374,5.96689,-5.09983,
151,30.09.2022 04:00:00,-3.09974,5.95569,-5.0887,
152,30.09.2022 05:00:00,-3.32143,5.9575,-5.08406,3.436
153,30.09.2022 06:00:00,-2.82884,5.9569,-5.09344,
154,30.09.2022 07:00:00,-3.10609,5.95948,-5.08935,
155,30.09.2022 08:00:00,-4.68968,5.96113,-5.09053,
156,30.09.2022 09:00:00,-4.94894,5.9703,-5.08646,
157,30.09.2022 10:00:00,-2.76747,5.97299,-5.10141,
158,30.09.2022 11:00:00,-1.28651,5.97184,-5.10636,3.446
159,30.09.2022 12:00:00,-3.86164,5.96266,-5.0875,
160,30.09.2022 13:00:00,-4.75423,5.96827,-5.08369,
161,30.09.2022 14:00:00,-3.56588,5.97195,-5.09369,
162,30.09.2022 15:00:00,-5.75265,5.96722,-5.07869,
163,30.09.2022 16:00:00,-7.36535,5.96613,-5.07255,
164,30.09.2022 17:00:00,-4.38281,5.97728,-5.09524,3.437
165,30.09.2022 18:00:00,-0.785458,5.98892,-5.11962,
166,30.09.2022 19:00:00,5.61559,6.00392,-5.15741,
167,30.09.2022 20:00:00,3.78015,6.00381,-5.13003,
