"Plot Title: Hobo_A"
"#","Date Time, GMT-06:00","Snow Depth, Inches (LGR S/N: 21378708, SEN S/N: 21074600)","Current, mA (LGR S/N: 21378708, SEN S/N: 21074600)"
120,08/20/22 10:12:10 AM,4.863,0.0125
121,08/20/22 04:12:10 PM,5.360,0.0187
122,08/20/22 10:12:10 PM,4.863,0.0187
123,08/21/22 04:12:10 AM,5.919,0.0125
124,08/21/22 10:12:10 AM,5.608,0.0125
125,08/21/22 04:12:10 PM,4.366,0.0187
126,08/21/22 10:12:10 PM,4.987,0.0187
127,08/22/22 04:12:10 AM,6.540,0.0125
128,08/22/22 10:12:10 AM,6.788,0.0125
129,08/22/22 04:12:10 PM,6.043,0.0187
130,08/22/22 10:12:10 PM,5.795,0.0187
131,08/23/22 04:12:10 AM,5.111,0.0187
132,08/23/22 10:12:10 AM,4.304,0.0187
133,08/23/22 04:12:10 PM,7.719,0.0187
134,08/23/22 10:12:10 PM,5.546,0.0187
135,08/24/22 04:12:10 AM,5.236,0.0187
136,08/24/22 10:12:10 AM,4.987,0.0187
137,08/24/22 04:12:10 PM,7.657,0.0187
138,08/24/22 10:12:10 PM,9.582,0.0187
139,08/25/22 04:12:10 AM,6.229,0.0125
140,08/25/22 10:12:10 AM,5.795,0.0187
141,08/25/22 04:12:10 PM,5.236,0.0187
142,08/25/22 10:12:10 PM,9.955,0.0187
143,08/26/22 04:12:10 AM,5.919,0.0125
144,08/26/22 10:12:10 AM,3.932,0.0187
145,08/26/22 04:12:10 PM,8.713,0.0187
146,08/26/22 10:12:10 PM,8.713,0.0187
147,08/27/22 04:12:10 AM,6.602,0.0125
148,08/27/22 10:12:10 AM,5.484,0.0187
149,08/27/22 04:12:10 PM,9.334,0.0187
150,08/27/22 10:12:10 PM,7.161,0.0187
151,08/28/22 04:12:10 AM,6.540,0.0187
152,08/28/22 10:12:10 AM,5.174,0.0187
153,08/28/22 04:12:10 PM,4.056,0.0187
154,08/28/22 10:12:10 PM,3.621,0.0187
155,08/29/22 04:12:10 AM,5.670,0.0125
156,08/29/22 10:12:10 AM,4.180,0.0125
157,08/29/22 04:12:10 PM,4.491,0.0187
158,08/29/22 10:12:10 PM,3.497,0.0187
159,08/30/22 04:12:10 AM,4.987,0.0125
160,08/30/22 10:12:10 AM,3.994,0.0187
161,08/30/22 04:12:10 PM,4.056,0.0187
162,08/30/22 10:12:10 PM,7.906,0.0187
163,08/31/22 04:12:10 AM,4.925,0.0125
164,08/31/22 10:12:10 AM,3.311,0.0187
165,08/31/22 04:12:10 PM,7.409,0.0187
166,08/31/22 10:12:10 PM,5.732,0.0187
167,09/01/22 04:12:10 AM,3.745,0.0125
168,09/01/22 10:12:10 AM,4.863,0.0187
169,09/01/22 04:12:10 PM,6.974,0.0187
170,09/01/22 10:12:10 PM,7.347,0.0187
171,09/02/22 04:12:10 AM,5.049,0.0187
172,09/02/22 10:12:10 AM,4.491,0.0187
173,09/02/22 04:12:10 PM,5.546,0.0187
174,09/02/22 10:12:10 PM,8.216,0.0187
175,09/03/22 04:12:10 AM,4.553,0.0187
176,09/03/22 10:12:10 AM,3.994,0.0187
177,09/03/22 04:12:10 PM,5.670,0.0187
178,09/03/22 10:12:10 PM,5.857,0.0187
179,09/04/22 04:12:10 AM,4.118,0.0125
180,09/04/22 10:12:10 AM,5.670,0.0187
181,09/04/22 04:12:10 PM,3.621,0.0187
182,09/04/22 10:12:10 PM,3.125,0.0125
183,09/05/22 04:12:10 AM,3.559,0.0125
184,09/05/22 10:12:10 AM,4.056,0.0187
185,09/05/22 04:12:10 PM,3.683,0.0125
186,09/05/22 10:12:10 PM,3.994,0.0125
187,09/06/22 04:12:10 AM,5.111,0.0125
188,09/06/22 10:12:10 AM,5.732,0.0125
189,09/06/22 04:12:10 PM,3.311,0.0187
190,09/06/22 10:12:10 PM,3.808,0.0125
191,09/07/22 04:12:10 AM,5.298,0.0125
192,09/07/22 10:12:10 AM,5.795,0.0125
193,09/07/22 04:12:10 PM,3.062,0.0187
194,09/07/22 10:12:10 PM,3.435,0.0125
195,09/08/22 04:12:10 AM,4.739,0.0187
196,09/08/22 10:12:10 AM,5.360,0.0125
197,09/08/22 04:12:10 PM,3.994,0.0187
198,09/08/22 10:12:10 PM,4.056,0.0125
199,09/09/22 04:12:10 AM,4.366,0.0125
200,09/09/22 10:12:10 AM,3.187,0.0125
201,09/09/22 04:12:10 PM,2.814,0.0187
202,09/09/22 10:12:10 PM,3.559,0.0125
203,09/10/22 04:12:10 AM,3.808,0.0125
204,09/10/22 10:12:10 AM,3.125,0.0125
205,09/10/22 04:12:10 PM,1.200,0.0125
206,09/10/22 10:12:10 PM,1.821,0.0125
207,09/11/22 04:12:10 AM,2.069,0.0125
208,09/11/22 10:12:10 AM,3.187,0.0125
209,09/11/22 04:12:10 PM,1.324,0.0125
210,09/11/22 10:12:10 PM,2.441,0.0125
211,09/12/22 04:12:10 AM,4.863,0.0125
212,09/12/22 10:12:10 AM,4.056,0.0187
213,09/12/22 04:12:10 PM,2.628,0.0187
214,09/12/22 10:12:10 PM,1.200,0.0125
215,09/13/22 04:12:10 AM,3.621,0.0125
216,09/13/22 10:12:10 AM,2.317,0.0125
