"Date Time, GMT-06:00",snow_depth_in
2022-07-21 16:12:10-06:00,10.886
2022-07-21 22:12:10-06:00,16.35
2022-07-22 04:12:10-06:00,12.501
2022-07-22 10:12:10-06:00,13.68
2022-07-22 16:12:10-06:00,16.475
2022-07-22 22:12:10-06:00,15.978
2022-07-23 04:12:10-06:00,13.059
2022-07-23 10:12:10-06:00,10.514
2022-07-23 16:12:10-06:00,10.638
2022-07-23 22:12:10-06:00,10.576
2022-07-24 04:12:10-06:00,8.899
2022-07-24 10:12:10-06:00,9.396
2022-07-24 16:12:10-06:00,12.749
2022-07-24 22:12:10-06:00,11.259
2022-07-25 04:12:10-06:00,10.017
2022-07-25 10:12:10-06:00,7.657
2022-07-25 16:12:10-06:00,13.929
2022-07-25 22:12:10-06:00,16.909
2022-07-26 04:12:10-06:00,13.618
2022-07-26 10:12:10-06:00,12.128
2022-07-26 16:12:10-06:00,12.19
2022-07-26 22:12:10-06:00,13.059
2022-07-27 04:12:10-06:00,11.259
2022-07-27 10:12:10-06:00,7.409
2022-07-27 16:12:10-06:00,11.259
2022-07-27 22:12:10-06:00,9.768
2022-07-28 04:12:10-06:00,9.272
2022-07-28 10:12:10-06:00,8.527
2022-07-28 16:12:10-06:00,10.141
2022-07-28 22:12:10-06:00,8.837
2022-07-29 04:12:10-06:00,8.961
2022-07-29 10:12:10-06:00,8.527
2022-07-29 16:12:10-06:00,9.644
2022-07-29 22:12:10-06:00,8.651
2022-07-30 04:12:10-06:00,9.023
2022-07-30 10:12:10-06:00,9.52
2022-07-30 16:12:10-06:00,7.781
2022-07-30 22:12:10-06:00,10.638
2022-07-31 04:12:10-06:00,8.651
2022-07-31 10:12:10-06:00,10.514
2022-07-31 16:12:10-06:00,12.252
2022-07-31 22:12:10-06:00,13.121
2022-08-01 04:12:10-06:00,10.638
2022-08-01 10:12:10-06:00,9.21
2022-08-01 16:12:10-06:00,12.128
2022-08-01 22:12:10-06:00,10.762
2022-08-02 04:12:10-06:00,10.451
2022-08-02 10:12:10-06:00,8.651
2022-08-02 16:12:10-06:00,9.582
2022-08-02 22:12:10-06:00,6.478
2022-08-03 04:12:10-06:00,9.334
2022-08-03 10:12:10-06:00,8.216
2022-08-03 16:12:10-06:00,10.824
2022-08-03 22:12:10-06:00,13.059
2022-08-04 04:12:10-06:00,11.01
2022-08-04 10:12:10-06:00,9.21
2022-08-04 16:12:10-06:00,14.674
2022-08-04 22:12:10-06:00,15.605
2022-08-05 04:12:10-06:00,10.514
2022-08-05 10:12:10-06:00,11.755
2022-08-05 16:12:10-06:00,12.066
2022-08-05 22:12:10-06:00,15.233
2022-08-06 04:12:10-06:00,12.004
2022-08-06 10:12:10-06:00,9.21
2022-08-06 16:12:10-06:00,8.713
2022-08-06 22:12:10-06:00,5.919
2022-08-07 04:12:10-06:00,7.968
2022-08-07 10:12:10-06:00,5.608
2022-08-07 16:12:10-06:00,9.458
2022-08-07 22:12:10-06:00,11.818
2022-08-08 04:12:10-06:00,8.03
2022-08-08 10:12:10-06:00,7.471
2022-08-08 16:12:10-06:00,10.265
2022-08-08 22:12:10-06:00,9.706
2022-08-09 04:12:10-06:00,6.54
2022-08-09 10:12:10-06:00,6.105
2022-08-09 16:12:10-06:00,10.141
2022-08-09 22:12:10-06:00,7.844
2022-08-10 04:12:10-06:00,6.85
2022-08-10 10:12:10-06:00,7.844
2022-08-10 16:12:10-06:00,7.409
2022-08-10 22:12:10-06:00,7.223
2022-08-11 04:12:10-06:00,7.098
2022-08-11 10:12:10-06:00,7.657
