"Plot Title: Site_B_maxsonar"
"#","Date Time, GMT-06:00","Snow_distance, mm (LGR S/N: 21378392, SEN S/N: 21246212)","Current, mA (LGR S/N: 21378392, SEN S/N: 21246212)"
1,07/23/22 10:31:04 AM,514.23,0.0000
2,07/23/22 04:31:04 PM,536.47,0.0000
3,07/23/22 10:31:04 PM,536.47,0.0000
4,07/24/22 04:31:04 AM,531.45,0.0000
5,07/24/22 10:31:04 AM,535.04,0.0000
6,07/24/22 04:31:04 PM,2874.28,0.0000
7,07/24/22 10:31:04 PM,494.85,0.0000
8,07/25/22 04:31:04 AM,535.76,0.0000
9,07/25/22 10:31:04 AM,2859.93,0.0000
10,07/25/22 04:31:04 PM,2912.31,0.0000
11,07/25/22 10:31:04 PM,2852.75,0.0000
12,07/26/22 04:31:04 AM,2823.33,0.0000
13,07/26/22 10:31:04 AM,2852.03,0.0000
14,07/26/22 04:31:04 PM,2909.44,0.0000
15,07/26/22 10:31:04 PM,491.27,0.0000
16,07/27/22 04:31:04 AM,539.34,0.0000
17,07/27/22 10:31:04 AM,540.78,0.0000
18,07/27/22 04:31:04 PM,2895.09,0.0000
19,07/27/22 10:31:04 PM,527.14,0.0000
20,07/28/22 04:31:04 AM,538.63,0.0000
21,07/28/22 10:31:04 AM,535.04,0.0000
22,07/28/22 04:31:04 PM,541.50,0.0000
23,07/28/22 10:31:04 PM,535.76,0.0000
24,07/29/22 04:31:04 AM,530.01,0.0000
25,07/29/22 10:31:04 AM,529.30,0.0000
26,07/29/22 04:31:04 PM,532.17,0.0000
27,07/29/22 10:31:04 PM,530.73,0.0000
28,07/30/22 04:31:04 AM,528.58,0.0000
29,07/30/22 10:31:04 AM,528.58,0.0000
30,07/30/22 04:31:04 PM,539.34,0.0000
31,07/30/22 10:31:04 PM,540.06,0.0000
32,07/31/22 04:31:04 AM,532.89,0.0000
33,07/31/22 10:31:04 AM,2844.86,0.0000
34,07/31/22 04:31:04 PM,2895.09,0.0000
35,07/31/22 10:31:04 PM,2859.21,0.0000
36,08/01/22 04:31:04 AM,539.34,0.0000
37,08/01/22 10:31:04 AM,537.19,0.0000
38,08/01/22 04:31:04 PM,2880.74,0.0000
39,08/01/22 10:31:04 PM,2899.39,0.0000
40,08/02/22 04:31:04 AM,542.21,0.0000
41,08/02/22 10:31:04 AM,537.91,0.0000
42,08/02/22 04:31:04 PM,2884.32,0.0000
43,08/02/22 10:31:04 PM,524.99,0.0000
44,08/03/22 04:31:04 AM,537.91,0.0000
45,08/03/22 10:31:04 AM,539.34,0.0000
46,08/03/22 04:31:04 PM,2918.05,0.0000
47,08/03/22 10:31:04 PM,2923.07,0.0000
48,08/04/22 04:31:04 AM,541.50,0.0000
49,08/04/22 10:31:04 AM,2868.54,0.0000
50,08/04/22 04:31:04 PM,2925.94,0.0000
51,08/04/22 10:31:04 PM,2906.57,0.0000
52,08/05/22 04:31:04 AM,2904.42,0.0000
