<FG2 'FG2-SHELL V4.03' (Nov 25 2020) NOW(UTC):01.08.2023 23:25:05>,,,,,,
<FILE: C:\FG2_Shell_V3\data/A543D1/raw/A543D1_20230801152430.f2b>,,,,,,
<LOGGER: $A543D1>,,,,,,
<FILESIZE: 154914 Bytes>,,,,,,
<MEMORY CLEAR>,,,,,,
<PARAMETER_SET: C:\FG2_Shell_V3\data/A543D1/par/A543D1_20220723132046.f2p>,,,,,,
<PERIOD: 3600 sec>,,,,,,
<TIME: 23.07.2022 15:34:30>,,,,,,
<HK-BATUSED: 3.3 % (CALC)>,,,,,,
NO,TIME,#1:oC,#2:X,#3:Y,HK-TEMP:oC,HK-BAT:V
73,26.07.2022 15:00:00,18.2928,8.05446,1.75161,,
74,26.07.2022 16:00:00,17.3182,8.03749,1.77303,17.31,3.424
75,26.07.2022 17:00:00,21.9574,8.08121,1.70885,,
76,26.07.2022 18:00:00,21.4039,8.09802,1.76925,,
77,26.07.2022 19:00:00,20.6701,8.04166,1.69549,,
78,26.07.2022 20:00:00,17.9579,8.04985,1.71149,,
79,26.07.2022 21:00:00,16.477,8.02161,1.73487,,
80,26.07.2022 22:00:00,13.7749,7.98832,1.7394,13.77,3.468
81,26.07.2022 23:00:00,11.7415,7.98272,1.74997,,
82,27.07.2022 00:00:00,8.78491,7.98311,1.77032,,
83,27.07.2022 01:00:00,4.76375,7.95767,1.78734,,
84,27.07.2022 02:00:00,6.79338,7.9569,1.78494,,
85,27.07.2022 03:00:00,9.13835,7.96102,1.78697,,
86,27.07.2022 04:00:00,9.53042,7.96844,1.76344,9.53,3.408
87,27.07.2022 05:00:00,10.1547,7.95004,1.78988,,
88,27.07.2022 06:00:00,9.48651,7.93559,1.79505,,
89,27.07.2022 07:00:00,11.3209,7.93779,1.79244,,
90,27.07.2022 08:00:00,11.0627,7.91977,1.79858,,
91,27.07.2022 09:00:00,12.1421,7.99508,1.78607,,
92,27.07.2022 10:00:00,13.2198,7.99695,1.78115,13.21,3.424
93,27.07.2022 11:00:00,13.468,7.96415,1.7811,,
94,27.07.2022 12:00:00,13.4907,7.96201,1.81835,,
95,27.07.2022 13:00:00,14.7193,7.95981,1.78325,,
96,27.07.2022 14:00:00,16.6939,7.94136,1.77005,,
97,27.07.2022 15:00:00,21.2003,7.93339,1.72204,,
98,27.07.2022 16:00:00,16.4315,7.96448,1.77468,16.43,3.387
99,27.07.2022 17:00:00,17.2748,7.96855,1.76816,,
100,27.07.2022 18:00:00,15.5055,8.02353,1.76802,,
101,27.07.2022 19:00:00,14.9092,7.95833,1.77917,,
102,27.07.2022 20:00:00,12.6442,7.93087,1.7926,,
103,27.07.2022 21:00:00,11.2135,7.92334,1.80618,,
104,27.07.2022 22:00:00,10.3204,7.91576,1.81762,10.32,3.427
105,27.07.2022 23:00:00,9.01085,7.92449,1.82875,,
106,28.07.2022 00:00:00,7.28015,7.90455,1.83623,,
107,28.07.2022 01:00:00,6.40184,7.90225,1.8389,,
108,28.07.2022 02:00:00,5.32141,7.90576,1.84703,,
109,28.07.2022 03:00:00,6.16798,7.93883,1.85865,,
110,28.07.2022 04:00:00,5.85581,7.87731,1.85678,5.85,3.444
111,28.07.2022 05:00:00,5.83993,7.89999,1.86912,,
112,28.07.2022 06:00:00,6.13305,7.90307,1.87656,,
113,28.07.2022 07:00:00,6.64628,7.89966,1.8753,,
114,28.07.2022 08:00:00,7.26957,7.88231,1.88274,,
115,28.07.2022 09:00:00,7.25581,7.88231,1.87974,,
116,28.07.2022 10:00:00,7.89972,7.86907,1.87463,7.89,3.416
117,28.07.2022 11:00:00,8.68121,7.86313,1.86917,,
118,28.07.2022 12:00:00,10.8643,7.84803,1.85338,,
119,28.07.2022 13:00:00,10.7447,7.83243,1.85234,,
120,28.07.2022 14:00:00,11.2696,7.83144,1.8473,,
121,28.07.2022 15:00:00,17.4844,7.82556,1.80032,,
122,28.07.2022 16:00:00,11.5479,7.81721,1.83603,11.54,3.46
123,28.07.2022 17:00:00,9.07116,7.83419,1.83396,,
124,28.07.2022 18:00:00,9.332,7.84083,1.82791,,
125,28.07.2022 19:00:00,7.24682,7.85462,1.83088,,
126,28.07.2022 20:00:00,7.09972,7.84116,1.84098,,
127,28.07.2022 21:00:00,6.55052,7.85116,1.83735,,
128,28.07.2022 22:00:00,5.69019,7.85847,1.84112,5.69,3.452
129,28.07.2022 23:00:00,4.67009,7.88752,1.84012,,
130,29.07.2022 00:00:00,3.73306,7.85841,1.84477,,
131,29.07.2022 01:00:00,3.8283,7.86182,1.84361,,
132,29.07.2022 02:00:00,3.741,7.85594,1.84123,,
133,29.07.2022 03:00:00,3.59602,7.86226,1.84022,,
134,29.07.2022 04:00:00,3.2193,7.84803,1.74979,3.21,3.406
135,29.07.2022 05:00:00,3.25528,7.85413,1.71968,,
136,29.07.2022 06:00:00,3.78068,7.85742,1.70145,,
137,29.07.2022 07:00:00,4.20502,7.86264,1.68498,,
138,29.07.2022 08:00:00,4.26216,7.87346,1.67214,,
139,29.07.2022 09:00:00,5.04787,7.8806,1.66044,,
140,29.07.2022 10:00:00,5.30078,7.91093,1.66105,5.3,3.402
141,29.07.2022 11:00:00,5.7849,7.92339,1.66693,,
142,29.07.2022 12:00:00,5.21983,7.92916,1.66214,,
143,29.07.2022 13:00:00,5.77379,7.92669,1.66358,,
144,29.07.2022 14:00:00,4.98385,7.94702,1.66428,,
145,29.07.2022 15:00:00,5.21136,7.97915,1.67029,,
146,29.07.2022 16:00:00,4.63306,8.00859,1.66468,4.63,3.393
147,29.07.2022 17:00:00,5.25051,8.0059,1.66734,,
148,29.07.2022 18:00:00,4.88279,8.02123,1.68318,,
149,29.07.2022 19:00:00,4.42036,7.9992,1.68243,,
150,29.07.2022 20:00:00,3.98121,8.00629,1.71062,,
151,29.07.2022 21:00:00,4.6193,7.99942,1.70996,,
152,29.07.2022 22:00:00,3.632,7.99975,1.71437,3.63,3.392
153,29.07.2022 23:00:00,1.92618,8.01222,1.72336,,
154,30.07.2022 00:00:00,1.34523,8.00288,1.72646,,
155,30.07.2022 01:00:00,0.0198312,7.9975,1.72912,,
156,30.07.2022 02:00:00,0.391789,7.99991,1.73066,,
157,30.07.2022 03:00:00,0.566919,7.99931,1.73249,,
158,30.07.2022 04:00:00,0.648404,8.00024,1.73415,0.64,3.424
159,30.07.2022 05:00:00,0.82195,8.00085,1.73534,,
160,30.07.2022 06:00:00,1.42301,7.9975,1.73414,,
161,30.07.2022 07:00:00,2.01771,8.00112,1.73383,,
162,30.07.2022 08:00:00,3.16004,7.9975,1.72925,,
163,30.07.2022 09:00:00,4.13094,7.99684,1.72236,,
164,30.07.2022 10:00:00,4.92036,8.00283,1.71442,4.92,3.434
165,30.07.2022 11:00:00,5.81877,7.9992,1.70408,,
166,30.07.2022 12:00:00,8.68333,7.9947,1.68678,,
167,30.07.2022 13:00:00,8.62936,7.99398,1.68261,,
168,30.07.2022 14:00:00,10.9902,7.98552,1.66335,,
169,30.07.2022 15:00:00,12.6749,7.98437,1.64763,,
170,30.07.2022 16:00:00,11.5468,7.96701,1.65114,11.54,3.431
171,30.07.2022 17:00:00,13.8505,7.98162,1.63285,,
172,30.07.2022 18:00:00,18.5129,8.01178,1.60415,,
173,30.07.2022 19:00:00,18.7452,7.99722,1.60221,,
174,30.07.2022 20:00:00,18.6563,7.98574,1.59974,,
175,30.07.2022 21:00:00,16.132,7.97305,1.60663,,
176,30.07.2022 22:00:00,12.4775,7.96262,1.61996,12.47,3.457
177,30.07.2022 23:00:00,8.86957,7.94784,1.63698,,
178,31.07.2022 00:00:00,4.09867,7.93746,1.65652,,
179,31.07.2022 01:00:00,2.1447,7.93213,1.66052,,
180,31.07.2022 02:00:00,1.14364,7.93114,1.6678,,
181,31.07.2022 03:00:00,1.041,7.93246,1.67584,,
182,31.07.2022 04:00:00,0.713485,7.9357,1.68202,0.71,3.446
183,31.07.2022 05:00:00,1.4193,7.92878,1.68375,,
184,31.07.2022 06:00:00,3.32988,7.91944,1.6857,,
185,31.07.2022 07:00:00,6.7193,7.90796,1.68527,,
186,31.07.2022 08:00:00,10.3098,7.90373,1.68907,,
187,31.07.2022 09:00:00,14.9976,7.89598,1.6592,,
188,31.07.2022 10:00:00,19.3912,7.88829,1.62241,19.39,3.405
189,31.07.2022 11:00:00,22.3865,7.87648,1.58593,,
190,31.07.2022 12:00:00,22.5558,7.90098,1.57512,,
191,31.07.2022 13:00:00,24.9648,7.89944,1.54108,,
192,31.07.2022 14:00:00,28.5622,7.91417,1.50196,,
193,31.07.2022 15:00:00,26.2076,7.93713,1.48755,,
194,31.07.2022 16:00:00,24.5246,7.94526,1.47881,24.52,3.426
195,31.07.2022 17:00:00,28.4029,7.94729,1.43308,,
196,31.07.2022 18:00:00,20.2013,7.93674,1.4637,,
197,31.07.2022 19:00:00,24.6087,7.96536,1.41832,,
198,31.07.2022 20:00:00,24.8029,7.97355,1.40322,,
199,31.07.2022 21:00:00,19.078,7.95449,1.4251,,
200,31.07.2022 22:00:00,19.5643,7.96437,1.40948,19.56,3.379
201,31.07.2022 23:00:00,12.8278,7.95146,1.43334,,
202,01.08.2022 00:00:00,8.51454,7.94938,1.44292,,
203,01.08.2022 01:00:00,8.94417,7.95311,1.44667,,
204,01.08.2022 02:00:00,7.52194,7.95114,1.45489,,
205,01.08.2022 03:00:00,6.13729,7.94301,1.46953,,
206,01.08.2022 04:00:00,5.26162,7.92878,1.47778,5.26,3.412
207,01.08.2022 05:00:00,4.36851,7.91373,1.49048,,
208,01.08.2022 06:00:00,4.91612,7.90977,1.49434,,
209,01.08.2022 07:00:00,7.31984,7.90269,1.49374,,
210,01.08.2022 08:00:00,8.97963,7.90532,1.4988,,
211,01.08.2022 09:00:00,9.93571,7.90582,1.4977,,
212,01.08.2022 10:00:00,16.0172,7.86956,1.46537,16.01,3.452
213,01.08.2022 11:00:00,20.2696,7.88758,1.45384,,
214,01.08.2022 12:00:00,24.8378,7.89142,1.43146,,
215,01.08.2022 13:00:00,25.2722,7.90845,1.41605,,
216,01.08.2022 14:00:00,29.8875,7.91702,1.37219,,
217,01.08.2022 15:00:00,28.4611,7.95602,1.36552,,
218,01.08.2022 16:00:00,24.2849,7.96503,1.37739,24.28,3.406
219,01.08.2022 17:00:00,27.7844,7.97723,1.33556,,
220,01.08.2022 18:00:00,21.1055,7.96547,1.38234,,
221,01.08.2022 19:00:00,19.1886,7.95883,1.39479,,
222,01.08.2022 20:00:00,16.6368,7.94916,1.40858,,
