,angle_1,angle_2,logger_temp_c
2000-01-20 12:01:00,-0.308809,-656.0,22.7
2000-01-21 00:01:00,-0.308804,-656.0,23.3
2000-01-21 12:01:00,-0.308817,-656.0,22.1
2000-01-22 00:01:00,-0.308823,-656.0,21.4
2000-01-22 12:01:00,-0.308828,-656.0,20.8
2000-01-23 00:01:00,-0.308825,-640.0,21.1
2000-01-23 12:01:00,-0.308828,-656.0,20.8
2017-06-08 00:34:00,-0.002098,0.0,9.8
2017-06-09 00:34:00,0.005535,-1008.0,20.9
2017-06-10 00:34:00,-0.308802,-656.0,23.3
2017-06-11 00:34:00,-0.308847,0.0,18.4
2017-06-12 00:34:00,-0.308033,-688.0,19.1
2017-06-13 00:34:00,-0.308853,-672.0,17.6
2017-06-14 00:34:00,-0.308857,-672.0,17.4
2017-06-15 00:34:00,-0.308884,0.0,14.4
2017-06-16 00:34:00,-0.096756,-992.0,15.0
2017-06-17 00:34:00,-0.094913,-976.0,12.0
2017-06-18 00:34:00,-0.094429,-976.0,11.4
2017-06-19 00:34:00,-0.095766,-976.0,13.1
2017-06-20 00:34:00,-0.093596,0.0,15.1
2017-06-21 00:34:00,-0.093616,0.0,16.0
2017-06-22 00:34:00,-0.09318,0.0,13.0
2017-06-23 00:34:00,-0.099644,-976.0,13.4
2017-06-24 00:34:00,-0.098921,0.0,13.8
2017-06-25 00:34:00,-0.098848,-992.0,14.6
2017-06-26 00:34:00,-0.096039,0.0,14.5
2017-06-27 00:34:00,-0.095957,0.0,14.9
2017-06-28 00:34:00,-0.090384,0.0,14.8
2017-06-29 00:34:00,-0.093702,0.0,15.3
2017-06-30 00:34:00,-0.094391,0.0,15.8
2017-07-01 00:34:00,-0.094128,0.0,16.0
2017-07-02 00:34:00,-0.094086,-976.0,15.2
2017-07-03 00:34:00,-0.092705,0.0,15.8
2017-07-04 00:34:00,-0.092869,-992.0,16.3
2017-07-05 00:34:00,-0.09226,0.0,15.7
2017-07-06 00:34:00,-0.089922,-976.0,17.6
2017-07-07 00:34:00,-0.065044,-976.0,21.1
2017-07-08 00:34:00,0.036003,0.0,24.8
2017-07-09 00:34:00,-0.173353,0.0,24.4
2017-07-10 00:34:00,-0.013514,-1008.0,21.4
2017-07-11 00:34:00,-0.011234,0.0,19.8
2017-07-12 00:34:00,-0.011261,0.0,18.8
2017-07-13 00:34:00,-0.011246,-1008.0,19.3
2017-07-14 00:34:00,-0.012104,0.0,17.9
2017-07-15 00:34:00,-0.012045,0.0,18.1
2017-07-16 00:34:00,-0.01214,0.0,18.1
