,snow_depth_in
2022-07-20 15:04:28-06:00,3.87
2022-07-20 21:04:28-06:00,1.324
2022-07-21 03:04:28-06:00,1.821
2022-07-21 09:04:28-06:00,2.814
2022-07-21 15:04:28-06:00,1.758
2022-07-21 21:04:28-06:00,3.187
2022-07-22 03:04:28-06:00,-1.284
2022-07-22 09:04:28-06:00,3.187
2022-07-22 15:04:28-06:00,3.0
2022-07-22 21:04:28-06:00,3.373
2022-07-23 03:04:28-06:00,0.33
2022-07-23 09:04:28-06:00,2.379
2022-07-23 15:04:28-06:00,3.373
2022-07-23 21:04:28-06:00,2.193
2022-07-24 03:04:28-06:00,2.131
2022-07-24 09:04:28-06:00,3.062
2022-07-24 15:04:28-06:00,2.628
2022-07-24 21:04:28-06:00,2.131
2022-07-25 03:04:28-06:00,2.628
2022-07-25 09:04:28-06:00,2.938
2022-07-25 15:04:28-06:00,2.193
2022-07-25 21:04:28-06:00,3.311
2022-07-26 03:04:28-06:00,2.255
2022-07-26 09:04:28-06:00,3.745
2022-07-26 15:04:28-06:00,1.883
2022-07-26 21:04:28-06:00,2.379
2022-07-27 03:04:28-06:00,3.311
2022-07-27 09:04:28-06:00,3.0
2022-07-27 15:04:28-06:00,3.559
2022-07-27 21:04:28-06:00,3.249
2022-07-28 03:04:28-06:00,3.683
2022-07-28 09:04:28-06:00,3.373
2022-07-28 15:04:28-06:00,1.634
2022-07-28 21:04:28-06:00,2.69
2022-07-29 03:04:28-06:00,3.435
2022-07-29 09:04:28-06:00,4.242
2022-07-29 15:04:28-06:00,3.621
2022-07-29 21:04:28-06:00,3.249
2022-07-30 03:04:28-06:00,4.366
2022-07-30 09:04:28-06:00,4.615
2022-07-30 15:04:28-06:00,3.745
2022-07-30 21:04:28-06:00,3.0
2022-07-31 03:04:28-06:00,2.504
2022-07-31 09:04:28-06:00,3.559
2022-07-31 15:04:28-06:00,2.814
2022-07-31 21:04:28-06:00,2.566
2022-08-01 03:04:28-06:00,1.448
2022-08-01 09:04:28-06:00,3.249
2022-08-01 15:04:28-06:00,3.87
2022-08-01 21:04:28-06:00,3.683
2022-08-02 03:04:28-06:00,3.187
2022-08-02 09:04:28-06:00,3.621
2022-08-02 15:04:28-06:00,1.572
2022-08-02 21:04:28-06:00,3.435
2022-08-03 03:04:28-06:00,3.435
2022-08-03 09:04:28-06:00,3.497
2022-08-03 15:04:28-06:00,2.876
2022-08-03 21:04:28-06:00,3.497
2022-08-04 03:04:28-06:00,2.441
2022-08-04 09:04:28-06:00,3.808
2022-08-04 15:04:28-06:00,4.118
2022-08-04 21:04:28-06:00,3.249
2022-08-05 03:04:28-06:00,0.765
2022-08-05 09:04:28-06:00,3.187
2022-08-05 15:04:28-06:00,3.559
2022-08-05 21:04:28-06:00,3.87
2022-08-06 03:04:28-06:00,4.428
2022-08-06 09:04:28-06:00,1.945
2022-08-06 15:04:28-06:00,3.062
2022-08-06 21:04:28-06:00,2.131
2022-08-07 03:04:28-06:00,3.373
2022-08-07 09:04:28-06:00,3.435
2022-08-07 15:04:28-06:00,2.876
2022-08-07 21:04:28-06:00,2.628
2022-08-08 03:04:28-06:00,3.621
2022-08-08 09:04:28-06:00,3.745
2022-08-08 15:04:28-06:00,3.559
2022-08-08 21:04:28-06:00,3.0
2022-08-09 03:04:28-06:00,2.441
2022-08-09 09:04:28-06:00,3.497
2022-08-09 15:04:28-06:00,1.2
2022-08-09 21:04:28-06:00,3.435
2022-08-10 03:04:28-06:00,3.808
2022-08-10 09:04:28-06:00,3.994
2022-08-10 15:04:28-06:00,3.559
2022-08-10 21:04:28-06:00,3.373
2022-08-11 03:04:28-06:00,4.428
2022-08-11 09:04:28-06:00,4.242
2022-08-11 15:04:28-06:00,2.876
2022-08-11 21:04:28-06:00,2.131
2022-08-12 03:04:28-06:00,3.497
2022-08-12 09:04:28-06:00,3.745
2022-08-12 15:04:28-06:00,3.0
2022-08-12 21:04:28-06:00,3.311
2022-08-13 03:04:28-06:00,3.559
2022-08-13 09:04:28-06:00,3.062
2022-08-13 15:04:28-06:00,2.69
2022-08-13 21:04:28-06:00,3.062
2022-08-14 03:04:28-06:00,3.745
2022-08-14 09:04:28-06:00,4.18
2022-08-14 15:04:28-06:00,3.808
2022-08-14 21:04:28-06:00,2.566
2022-08-15 03:04:28-06:00,2.379
2022-08-15 09:04:28-06:00,4.18
2022-08-15 15:04:28-06:00,2.938
2022-08-15 21:04:28-06:00,3.497
2022-08-16 03:04:28-06:00,2.566
2022-08-16 09:04:28-06:00,1.883
2022-08-16 15:04:28-06:00,3.0
2022-08-16 21:04:28-06:00,2.752
2022-08-17 03:04:28-06:00,-0.974
2022-08-17 09:04:28-06:00,3.435
2022-08-17 15:04:28-06:00,0.082
2022-08-17 21:04:28-06:00,2.628
2022-08-18 03:04:28-06:00,3.435
2022-08-18 09:04:28-06:00,3.0
2022-08-18 15:04:28-06:00,-3.83
2022-08-18 21:04:28-06:00,2.69
2022-08-19 03:04:28-06:00,3.87
2022-08-19 09:04:28-06:00,4.925
2022-08-19 15:04:28-06:00,3.249
2022-08-19 21:04:28-06:00,3.559
2022-08-20 03:04:28-06:00,2.628
2022-08-20 09:04:28-06:00,2.876
2022-08-20 15:04:28-06:00,3.808
2022-08-20 21:04:28-06:00,4.242
2022-08-21 03:04:28-06:00,1.386
2022-08-21 09:04:28-06:00,3.994
2022-08-21 15:04:28-06:00,2.441
2022-08-21 21:04:28-06:00,2.504
2022-08-22 03:04:28-06:00,2.752
2022-08-22 09:04:28-06:00,4.118
2022-08-22 15:04:28-06:00,3.87
2022-08-22 21:04:28-06:00,3.125
2022-08-23 03:04:28-06:00,3.125
2022-08-23 09:04:28-06:00,4.801
2022-08-23 15:04:28-06:00,4.428
2022-08-23 21:04:28-06:00,4.242
