Model,IC6656L Tilt Logger,,,,,,,,,,,,,
Name,Tilt Logger Gruber#2,,,,,,,,,,,,,
Serial Number,5123,,,,,,,,,,,,,
Firmware Version,1.03,Software Version,1.19.4,,,,,,,,,,,
Sampling Status,LOGGING,,,,,,,,,,,,,
Sampling Rate,FIXED,,,,,,,,,,,,,
Current Interval,1:00:00,,,,,,,,,,,,,
Start Time,6/28/2019,13:07:13,,,,,,,,,,,,
Current Time,7/20/2022,16:43:52,Logger Time,7/20/2022,14:08:08,,,,,,,,,
Number Of Sensors,2,,,,,,,,,,,,,
Number Of Records,26786,Dnl using USB,,,,,,,,,,,,
Sensor Upload Num / Status Code,1,20002A,FFFFFFFF,0,Bat Type LSH14Light,,WD 255,PO 0,EXT 157,BO 0,SW 255,PDI 255,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BATTERY,Tilt 1,Tilt 2,,,,Tilt 1,Tilt 2,LOGGER TEMP,RESET,USB,RSSI,STATUS 0x
6/30/2019 13:07,49,3.56,-0.308168,-0.008232,,,,-0.308168,-0.008232,21.4,0,0,0,0
6/30/2019 14:07,50,3.56,-0.308167,-0.008211,,,,-0.308167,-0.008211,21.6,0,0,0,0
6/30/2019 15:07,51,3.56,-0.308165,-0.008244,,,,-0.308165,-0.008244,21.9,0,0,0,0
6/30/2019 16:07,52,3.56,-0.308165,-0.008234,,,,-0.308165,-0.008234,22.1,0,0,0,0
6/30/2019 17:07,53,3.56,-0.308163,-0.00824,,,,-0.308163,-0.00824,22.3,0,0,0,0
6/30/2019 18:07,54,3.56,-0.308159,-0.008232,,,,-0.308159,-0.008232,22.6,0,0,0,0
6/30/2019 19:07,55,3.56,-0.308159,-0.008247,,,,-0.308159,-0.008247,22.8,0,0,0,0
6/30/2019 20:07,56,3.56,-0.308157,-0.008236,,,,-0.308157,-0.008236,22.9,0,0,0,0
6/30/2019 21:07,57,3.56,-0.308155,-0.008274,,,,-0.308155,-0.008274,23.3,0,0,0,0
6/30/2019 22:07,58,3.56,-0.308155,-0.00827,,,,-0.308155,-0.00827,23.1,0,0,0,0
6/30/2019 23:07,59,3.56,-0.308157,-0.008261,,,,-0.308157,-0.008261,23,0,0,0,0
7/1/2019 0:07,60,3.56,-0.308159,-0.008272,,,,-0.308159,-0.008272,22.8,0,0,0,0
7/1/2019 1:07,61,3.56,-0.308159,-0.008265,,,,-0.308159,-0.008265,22.7,0,0,0,0
7/1/2019 2:07,62,3.56,-0.308161,-0.008249,,,,-0.308161,-0.008249,22.6,0,0,0,0
7/1/2019 3:07,63,3.56,-0.308163,-0.008253,,,,-0.308163,-0.008253,22.4,0,0,0,0
7/1/2019 4:07,64,3.56,-0.308163,-0.008253,,,,-0.308163,-0.008253,22.2,0,0,0,0
7/1/2019 5:07,65,3.56,-0.308165,-0.008251,,,,-0.308165,-0.008251,22,0,0,0,0
7/1/2019 6:07,66,3.56,-0.308167,-0.008249,,,,-0.308167,-0.008249,21.8,0,0,0,0
7/1/2019 7:07,67,3.56,-0.308167,-0.00824,,,,-0.308167,-0.00824,21.7,0,0,0,0
7/1/2019 8:07,68,3.56,-0.308167,-0.008244,,,,-0.308167,-0.008244,21.7,0,0,0,0
7/1/2019 9:07,69,3.56,-0.308167,-0.008234,,,,-0.308167,-0.008234,21.6,0,0,0,0
7/1/2019 10:07,70,3.56,-0.308167,-0.008253,,,,-0.308167,-0.008253,21.8,0,0,0,0
7/1/2019 11:07,71,3.56,-0.308167,-0.008249,,,,-0.308167,-0.008249,21.8,0,0,0,0
7/1/2019 12:07,72,3.56,-0.308165,-0.008251,,,,-0.308165,-0.008251,21.9,0,0,0,0
7/1/2019 13:07,73,3.56,-0.308163,-0.008263,,,,-0.308163,-0.008263,22.2,0,0,0,0
7/1/2019 14:07,74,3.56,-0.308161,-0.008253,,,,-0.308161,-0.008253,22.5,0,0,0,0
7/1/2019 15:07,75,3.56,-0.308159,-0.008261,,,,-0.308159,-0.008261,22.8,0,0,0,0
7/1/2019 16:07,76,3.56,-0.308157,-0.00827,,,,-0.308157,-0.00827,23,0,0,0,0
7/1/2019 17:07,77,3.56,-0.308155,-0.008284,,,,-0.308155,-0.008284,23.3,0,0,0,0
7/1/2019 18:07,78,3.56,-0.308153,-0.008263,,,,-0.308153,-0.008263,23.4,0,0,0,0
7/1/2019 19:07,79,3.56,-0.308153,-0.008263,,,,-0.308153,-0.008263,23.6,0,0,0,0
7/1/2019 20:07,80,3.56,-0.308153,-0.008276,,,,-0.308153,-0.008276,23.6,0,0,0,0
7/1/2019 21:07,81,3.56,-0.308157,-0.008249,,,,-0.308157,-0.008249,23.1,0,0,0,0
7/1/2019 22:07,82,3.56,-0.308161,-0.008232,,,,-0.308161,-0.008232,22.5,0,0,0,0
7/1/2019 23:07,83,3.51,-0.30817,-0.008181,,,,-0.30817,-0.008181,21.4,0,0,0,0
7/2/2019 0:07,84,3.56,-0.308172,-0.008181,,,,-0.308172,-0.008181,20.9,0,0,0,0
7/2/2019 1:07,85,3.51,-0.30818,-0.008158,,,,-0.30818,-0.008158,20.1,0,0,0,0
7/2/2019 2:07,86,3.51,-0.308184,-0.008171,,,,-0.308184,-0.008171,19.4,0,0,0,0
7/2/2019 3:07,87,3.51,-0.308187,-0.008154,,,,-0.308187,-0.008154,19,0,0,0,0
7/2/2019 4:07,88,3.51,-0.308193,-0.008135,,,,-0.308193,-0.008135,18.2,0,0,0,0
7/2/2019 5:07,89,3.51,-0.308197,-0.00816,,,,-0.308197,-0.00816,17.6,0,0,0,0
7/2/2019 6:07,90,3.51,-0.308199,-0.008141,,,,-0.308199,-0.008141,17.2,0,0,0,0
7/2/2019 7:07,91,3.51,-0.308201,-0.00815,,,,-0.308201,-0.00815,17,0,0,0,0
7/2/2019 8:07,92,3.51,-0.308203,-0.008177,,,,-0.308203,-0.008177,16.7,0,0,0,0
