Model,IC6656L Tilt Logger,,,,,,,,,,,,,
Name,Tilt Logger,,,,,,,,,,,,,
Serial Number,5119,,,,,,,,,,,,,
Firmware Version,1.03,Software Version,1.19.4,,,,,,,,,,,
Sampling Status,LOGGING,,,,,,,,,,,,,
Sampling Rate,FIXED,,,,,,,,,,,,,
Current Interval,12:00:00,,,,,,,,,,,,,
Start Time,6/1/2021,10:09:18,,,,,,,,,,,,
Current Time,7/19/2022,16:06:45,Logger Time,7/19/2022,15:31:59,,,,,,,,,
Number Of Sensors,2,,,,,,,,,,,,,
Number Of Records,827,Dnl using USB,,,,,,,,,,,,
Sensor Upload Num / Status Code,1,6A,FFFFFFFF,147650,Bat Type LSH14Light,,WD 136,PO 0,EXT 255,BO 0,SW 255,PDI 255,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BATTERY,Tilt 1,Tilt 2,,,,Tilt 1,Tilt 2,LOGGER TEMP,RESET,USB,RSSI,STATUS 0x
6/1/2021 10:09,1,3.71,-0.044228,0.624964,-66.342,1.466847854,,-0.044228,0.624964,15.1,1,0,0,0
6/1/2021 22:09,2,3.11,-0.044003,0.624965,-66.0045,,,-0.044003,0.624965,-0.3,0,0,0,0
6/2/2021 10:09,3,3.11,-0.043316,0.624965,-64.974,,,-0.043316,0.624965,0.7,0,0,0,0
6/2/2021 22:09,4,3.16,-0.043739,0.624964,-65.6085,,,-0.043739,0.624964,5.9,0,0,0,0
6/3/2021 10:09,5,3.16,-0.044014,0.624964,-66.021,,,-0.044014,0.624964,7.5,0,0,0,0
6/3/2021 22:09,6,3.16,-0.045252,0.624964,-67.878,,,-0.045252,0.624964,6,0,0,0,0
6/4/2021 10:09,7,3.16,-0.043959,0.624964,-65.9385,,,-0.043959,0.624964,3.8,0,0,0,0
6/4/2021 22:09,8,3.16,-0.044975,0.624965,-67.4625,,,-0.044975,0.624965,4.5,0,0,0,0
6/5/2021 10:09,9,3.11,-0.044916,0.624964,-67.374,,,-0.044916,0.624964,2.3,0,0,0,0
6/5/2021 22:09,10,3.21,-0.045965,0.624964,-68.9475,,,-0.045965,0.624964,6.9,0,0,0,0
6/6/2021 10:09,11,3.16,-0.0462,0.624964,-69.3,,,-0.0462,0.624964,2.7,0,0,0,0
6/6/2021 22:09,12,3.21,-0.047358,0.624964,-71.037,,,-0.047358,0.624964,6.6,0,0,0,0
6/7/2021 10:09,13,3.21,-0.047478,0.624964,-71.217,,,-0.047478,0.624964,9.4,0,0,0,0
6/7/2021 22:09,14,3.26,-0.049229,0.624964,-73.8435,,,-0.049229,0.624964,10.3,0,0,0,0
6/8/2021 10:09,15,3.31,-0.049652,0.624964,-74.478,,,-0.049652,0.624964,15.6,0,0,0,0
6/8/2021 22:09,16,3.36,-0.05168,0.624964,-77.52,,,-0.05168,0.624964,19.6,0,0,0,0
