Model,IC6656L Tilt Logger,,,,,,,,,,,,,
Name,Tilt Logger,,,,,,,,,,,,,
Serial Number,5119,,,,,,,,,,,,,
Firmware Version,1.03,Software Version,1.19.4,,,,,,,,,,,
Sampling Status,LOGGING,,,,,,,,,,,,,
Sampling Rate,FIXED,,,,,,,,,,,,,
Current Interval,12:00:00,,,,,,,,,,,,,
Start Time,7/19/2022,15:55:13,,,,,,,,,,,,
Current Time,9/23/2022,11:57:55,Logger Time,9/23/2022,12:20:52,,,,,,,,,
Number Of Sensors,2,,,,,,,,,,,,,
Number Of Records,132,Dnl using USB,,,,,,,,,,,,
Sensor Upload Num / Status Code,1,6A,FFFFFFFF,147650,Bat Type LS26500,,WD 139,PO 0,EXT 255,BO 0,SW 255,PDI 255,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
TIMESTAMP,RECORD,BATTERY,Tilt 1,Tilt 2,,,,Tilt 1,Tilt 2,LOGGER TEMP,RESET,USB,RSSI,STATUS 0x
8/14/2022 15:55,53,2,-0.087654,0.624941,,,,-0.087654,0.624941,13.4,0,0,0,0
8/15/2022 3:55,54,2,-0.087713,0.624934,,,,-0.087713,0.624934,7.4,0,0,0,0
8/15/2022 15:55,55,2,-0.088518,0.624946,,,,-0.088518,0.624946,16.6,0,0,0,0
8/16/2022 3:55,56,2,-0.088284,0.624935,,,,-0.088284,0.624935,8.5,0,0,0,0
8/16/2022 15:55,57,2,-0.089996,0.624943,,,,-0.089996,0.624943,22.6,0,0,0,0
8/17/2022 3:55,58,2,-0.089314,0.624934,,,,-0.089314,0.624934,6.8,0,0,0,0
8/17/2022 15:55,59,2,-0.089792,0.624947,,,,-0.089792,0.624947,22.4,0,0,0,0
8/18/2022 3:55,60,2,-0.089092,0.624937,,,,-0.089092,0.624937,13.4,0,0,0,0
8/18/2022 15:55,61,2,-0.087444,0.624933,,,,-0.087444,0.624933,8.3,0,0,0,0
8/19/2022 3:55,62,2,-0.086863,0.624932,,,,-0.086863,0.624932,6.3,0,0,0,0
8/19/2022 15:55,63,2,-0.0872,0.624936,,,,-0.0872,0.624936,11.4,0,0,0,0
8/20/2022 3:55,64,2,-0.087269,0.624933,,,,-0.087269,0.624933,5.3,0,0,0,0
8/20/2022 15:55,65,2,-0.087603,0.624937,,,,-0.087603,0.624937,12.1,0,0,0,0
8/21/2022 3:55,66,2,-0.087616,0.624934,,,,-0.087616,0.624934,7.1,0,0,0,0
8/21/2022 15:55,67,2,-0.088364,0.624937,,,,-0.088364,0.624937,9.2,0,0,0,0
8/22/2022 3:55,68,2,-0.088404,0.624931,,,,-0.088404,0.624931,2.8,0,0,0,0
8/22/2022 15:55,69,2,-0.09025,0.624936,,,,-0.09025,0.624936,10.8,0,0,0,0
8/23/2022 3:55,70,2,-0.089989,0.624933,,,,-0.089989,0.624933,6.9,0,0,0,0
8/23/2022 15:55,71,2,-0.091303,0.624943,,,,-0.091303,0.624943,15.2,0,0,0,0
8/24/2022 3:55,72,2,-0.09053,0.624933,,,,-0.09053,0.624933,8.3,0,0,0,0
8/24/2022 15:55,73,2,-0.090176,0.624947,,,,-0.090176,0.624947,14.9,0,0,0,0
8/25/2022 3:55,74,2,-0.090431,0.624932,,,,-0.090431,0.624932,8.5,0,0,0,0
8/25/2022 15:55,75,2,-0.091049,0.62495,,,,-0.091049,0.62495,20,0,0,0,0
8/26/2022 3:55,76,2,-0.090776,0.624932,,,,-0.090776,0.624932,4.4,0,0,0,0
8/26/2022 15:55,77,2,-0.092485,0.62496,,,,-0.092485,0.62496,23.6,0,0,0,0
8/27/2022 3:55,78,2,-0.092236,0.624929,,,,-0.092236,0.624929,2.6,0,0,0,0
8/27/2022 15:55,79,2,-0.093967,0.624956,,,,-0.093967,0.624956,23,0,0,0,0
8/28/2022 3:55,80,2,-0.093092,0.62493,,,,-0.093092,0.62493,6.9,0,0,0,0
8/28/2022 15:55,81,2,-0.092836,0.62493,,,,-0.092836,0.62493,10.8,0,0,0,0
8/29/2022 3:55,82,2,-0.092745,0.624927,,,,-0.092745,0.624927,1.6,0,0,0,0
