,angle_1,angle_2,logger_temp_c
2019-06-28 13:07:00,-0.006805,-0.308151,22.6
2019-06-28 14:07:00,-0.037867,-0.308167,21.8
2019-06-28 15:07:00,-0.037672,-0.308168,21.6
2019-06-28 16:07:00,-0.037571,-0.308168,21.4
2019-06-28 17:07:00,-0.037487,-0.30817,21.3
2019-06-28 18:07:00,-0.037407,-0.308172,21.0
2019-06-28 19:07:00,-0.037355,-0.308172,21.0
2019-06-28 20:07:00,-0.008204,-0.30817,21.3
2019-06-28 21:07:00,-0.008205,-0.30817,21.1
2019-06-28 22:07:00,-0.008205,-0.30817,21.1
2019-06-28 23:07:00,-0.008211,-0.308172,21.0
2019-06-29 00:07:00,-0.008209,-0.308172,20.9
2019-06-29 01:07:00,-0.008194,-0.308174,20.8
2019-06-29 02:07:00,-0.008192,-0.308174,20.7
2019-06-29 03:07:00,-0.008186,-0.308174,20.6
2019-06-29 04:07:00,-0.008194,-0.308176,20.4
2019-06-29 05:07:00,-0.008169,-0.308178,20.3
2019-06-29 06:07:00,-0.008204,-0.308178,20.2
2019-06-29 07:07:00,-0.008171,-0.308178,20.1
2019-06-29 08:07:00,-0.008184,-0.308178,20.1
2019-06-29 09:07:00,-0.008192,-0.308178,20.1
2019-06-29 10:07:00,-0.008175,-0.308176,20.3
2019-06-29 11:07:00,-0.008186,-0.308176,20.6
2019-06-29 12:07:00,-0.008194,-0.308174,20.8
2019-06-29 13:07:00,-0.008228,-0.308172,20.9
2019-06-29 14:07:00,-0.008257,-0.308172,21.1
2019-06-29 15:07:00,-0.008261,-0.30817,21.2
2019-06-29 16:07:00,-0.008265,-0.308168,21.6
2019-06-29 17:07:00,-0.008282,-0.308167,21.7
2019-06-29 18:07:00,-0.00828,-0.308167,21.8
2019-06-29 19:07:00,-0.008282,-0.308165,21.9
2019-06-29 20:07:00,-0.008286,-0.308165,21.9
2019-06-29 21:07:00,-0.008272,-0.308167,21.8
2019-06-29 22:07:00,-0.008255,-0.308167,21.8
